name,price,composition,category,gender,description,img_url,url,scrapped-at
CALÇA FEMININA WHIDE LEG FIT,232.90,2% elastano 98% algodão,CALÇA,FEMININO,Calça feminina whide leg Modelagem whide leg Sarja Fechamento com botão e zíper Modelo veste 36,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_whide_leg_fit_96060638_1_66136af2e4a49b33785fd50a80ab0bd3.jpg,https://www.daksuljeans.com.br/feminino/calca/whide-leg/calca-feminina-whide-leg-fit,11-04-2022
CALÇA FEMININA WHIDE LEG,239.90,100% algodão,CALÇA,FEMININO,Calça Whide Leg  Cintura Alta  Lavação estonada  Fechamento com botão e zíper Modelo veste 38,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_whide_leg_96060138_1_4038203de58b6cd0dd6aff40b607a244.jpg,https://www.daksuljeans.com.br/calca-feminina-whide-leg,11-04-2022
CALÇA FEMININA SLOUCHY RETA PLUS SIZE,237.90,"98,7% algodão",CALÇA,FEMININO,"Calça feminina Slouchy Modelagem reta Pense frontal na barra Bolso faca Modelo veste 46  98,7% algodão 1,3%elastano",https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_slouchy_reta_plus_size_96060387_1_2194711d0a18d536f054639fd5e3d42e.jpg,https://www.daksuljeans.com.br/cf22111g-calca-feminina-slouchy,11-04-2022
CALÇA FEMININA SLOUCHY RETA,226.90,"98,7% algodão",CALÇA,FEMININO,"Calça feminina Slouchy Modelagem reta Pense frontal na barra Bolso faca Modelo veste 36  98,7% algodão 1,3%elastano",https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_slouchy_reta_96060380_1_e9d80cb88e7dc1dc409731245dcf3adc.jpg,https://www.daksuljeans.com.br/cf22111-calca-feminina-slouchy,11-04-2022
CALÇA FEMININA SLOUCHY,163.90,"1,3% elastano 98,7% algodão",CALÇA,PROMOÇÃO,"MODELAGEM SLOUCHY  PEÇA MAIS DESCOLADA E CONFORTÁVEL. TEM A CINTURA MÉDIA E VOLUME NAS PERNAS. FECHAMENTO COM ZÍPER E BOTÃO. POSSUI AMARRAÇÃO NA BARRA DA PERNA. MODELO VESTE 36 COMPOSIÇÃO: 98,7% ALGODÃO 1,3% ELASTANO",https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_slouchy_96057515_1_ba8d31e971bc5fc23efc2bcdb13c8d7b.jpeg,https://www.daksuljeans.com.br/feminino/calca/slouchy/cf20111-calca-feminina-slaich,11-04-2022
CALÇA FEMININA SKINNY HOT PANTS,230.90,2% elastano 98% algodão,CALÇA,FEMININO,Calça skinny Hot Pants  Cintura Alta  Barra dobrada desfiada  Fechamento com botão e zíper Modelo veste 38,https://images.tcdn.com.br/img/img_prod/1052366/cg22016_calca_feminina_skinny_hot_pants_96061417_1_8c7a33054f4ccac71e7562eb387ff4d8.jpg,https://www.daksuljeans.com.br/cg22016-calca-feminina-skinny-hot-pants,11-04-2022
CALÇA FEMININA SKINNY HOT PANTS TECIDO CETIM,202.90,2% elastano 22% poliester 76% algodão,CALÇA,FEMININO,Calça feminina Modelagem Skinny hot pants Pense frontal no lugar do bolso Tecido cetim preto Fechamento com zíper e botão Modelo veste 36,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_hot_pants_tecido_cetim_96060359_1_5411a75d56efb737deef694f44c8ec09.jpg,https://www.daksuljeans.com.br/feminino/calca/skinny/calca-feminina-skinny-hot-pants-tecido-cetim,11-04-2022
CALÇA FEMININA WHIDE LEG,206.90,100% algodão,CALÇA,FEMININO,Calça Whide Leg  Cintura Alta  Perna Ampla  Lavação Vintage  Fenda lateral na barra  Fechamento com botão e zíper Modelo veste 38,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_whide_leg_96060786_1_51e3c191dba95bda6df45d7fd02f4851.jpg,https://www.daksuljeans.com.br/feminino/calca/wide-leg/calca-feminina-whide-leg,11-04-2022
CALÇA JEANS FEMININA CROPPED LEVE PUÍDO BARRA CORTE A FIO,177.90,2% elastano 98% algodão,CALÇA,FEMININO,Calça Cropped  Cintura Alta  Leves puídos  Barra corte a fio  Fechamento com botão e zíper Modelo veste 36,https://images.tcdn.com.br/img/img_prod/1052366/calca_jeans_feminina_cropped_leve_puido_barra_corte_a_fio_96059119_1_20b8812f417bac868470e18cc69f6eb7.jpg,https://www.daksuljeans.com.br/feminino/calca/cropped/cp21203-calca-feminina-cropped-alta,11-04-2022
CALÇA JEANS FEMININA CROPPED LEVE PUÍDO BARRA DESFIADA,184.90,2% elastano 98% algodão,CALÇA,,Calça Cropped  Cintura Alta  Leves puídos  Barra desfiada  Fechamento com botão e zíper Modelo veste 36,https://images.tcdn.com.br/img/img_prod/1052366/calca_jeans_feminina_cropped_leve_puido_barra_desfiada_96059130_1_e917c11ae287cf93d886d9dd70deb633.jpg,https://www.daksuljeans.com.br/cp21202-calca-feminina-cropped-alta,11-04-2022
